kappa,d,time_over_tau,completion_error_n65,grid_max_difference,domain_max_difference,representation_pass,grid_pass,domain_pass,joint_pass
1,1,0.1,0.18817583568263968,0.0022984672701925613,0.011096556554128306,False,False,False,False
1,1,1,0.6879936351163901,0.0030790848589974107,0.013546952993793035,False,False,False,False
1,1,10,0.6826924710041472,0.005543531228470067,0.04927751566594438,False,False,False,False
1,2,0.1,0.1733435217776263,0.0022984672701925613,0.011096556554128306,False,False,False,False
1,2,1,0.6006751483675384,0.0030790848589974107,0.013546952993793035,False,False,False,False
1,2,10,0.5494548481128589,0.005543531228470067,0.04927751566594438,False,False,False,False
1,3,0.1,0.002908197124399381,0.005120044316854061,0.011096556554128306,False,False,False,False
1,3,1,0.005025607271463783,0.0030790848589974107,0.015675885323434335,False,False,False,False
1,3,10,0.004438777569828328,0.006303999375483427,0.05272364147682951,False,False,False,False
10,1,0.1,0.03354559284325609,0.006479764252100839,0.0004246639324057,False,False,True,False
10,1,1,0.07961157876173841,0.004387055080765645,0.00486431947909205,False,False,False,False
10,1,10,0.03706626322134465,0.0014933106350395464,0.010733255970120092,False,False,False,False
10,2,0.1,0.029865463050837204,0.006479764252100839,0.0004246639324057,False,False,True,False
10,2,1,0.05596090148880184,0.004387055080765645,0.00486431947909205,False,False,False,False
10,2,10,0.029541782743112144,0.0014933106350395464,0.010733255970120092,False,False,False,False
10,3,0.1,0.0027381076617687405,0.006479764252100839,0.0004246639324057,False,False,True,False
10,3,1,0.0034438603593910377,0.004387055080765645,0.00486431947909205,False,False,False,False
10,3,10,0.0030008682367429484,0.0014933106350395464,0.010733255970120092,False,False,False,False
100,1,0.1,0.006012034518642961,0.007250298425272694,0.0001681054392503878,False,False,True,False
100,1,1,0.010487416819384698,0.004411919859105273,0.002103898803627491,False,False,False,False
100,1,10,0.006830862925407577,0.0006708908438713967,0.0032702457986856226,False,True,False,False
100,2,0.1,0.005607217468442338,0.007250298425272694,0.0001681054392503878,False,False,True,False
100,2,1,0.008208433148920613,0.004411919859105273,0.002103898803627491,False,False,False,False
100,2,10,0.005490525529526169,0.0006708908438713967,0.0032702457986856226,False,True,False,False
100,3,0.1,0.0027135119861935175,0.007250298425272694,0.0001681054392503878,False,False,True,False
100,3,1,0.003319250355710568,0.004411919859105273,0.002103898803627491,False,False,False,False
100,3,10,0.002902696928954507,0.0006708908438713967,0.0032702457986856226,False,True,False,False
