model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
Gaussian,0.0075,0,0,-0.007984193616994373,-0.016860274208576942,-0.008876080591582569,0.008876080591582569,6.7408901808353e-05,3.552713678800501e-15,0.008943489493394475,False,False
Gaussian,0.0075,0,1,-0.003686470537597686,-0.010195998734075118,-0.006509528196477432,0.006509528196477432,6.7408901808353e-05,3.552713678800501e-15,0.006576937098289338,False,False
Gaussian,0.0075,0,2,-0.004727478544044303,-0.010583300855874889,-0.005855822311830586,0.005855822311830586,6.7408901808353e-05,3.552713678800501e-15,0.005923231213642492,False,False
Gaussian,0.0075,1,0,-0.0036864705375975887,-0.010195998734075118,-0.006509528196477529,0.006509528196477529,6.7408901808353e-05,3.552713678800501e-15,0.006576937098289435,False,False
Gaussian,0.0075,1,1,-0.007726263135598599,-0.018783884731100375,-0.011057621595501776,0.011057621595501776,6.7408901808353e-05,3.552713678800501e-15,0.011125030497313683,False,False
Gaussian,0.0075,1,2,-0.003761869761439496,-0.009842724433044736,-0.00608085467160524,0.00608085467160524,6.7408901808353e-05,3.552713678800501e-15,0.006148263573417146,False,False
Gaussian,0.0075,2,0,-0.004727478544044372,-0.010583300855874889,-0.005855822311830516,0.005855822311830516,6.7408901808353e-05,3.552713678800501e-15,0.0059232312136424225,False,False
Gaussian,0.0075,2,1,-0.003761869761439496,-0.009842724433044792,-0.006080854671605296,0.006080854671605296,6.7408901808353e-05,3.552713678800501e-15,0.006148263573417202,False,False
Gaussian,0.0075,2,2,-0.007784909684477592,-0.018076323928649773,-0.010291414244172181,0.010291414244172181,6.7408901808353e-05,3.552713678800501e-15,0.010358823145984087,False,False
Gaussian,0.025,0,0,-0.02527497523612371,-0.05433198598396827,-0.02905701074784456,0.02905701074784456,0.0002082016519861076,3.552713678800501e-15,0.02926521239983422,False,False
