model,time_over_tau,receiver,other_site_1,other_site_2,reference_C_1,reference_C_2,model_C_1,model_C_2,reference_magnitude_gap,model_magnitude_gap,reference_preferred_site,model_preferred_site,raw_order_result,conditional_result,combined_per_entry_empirical_allowance
Gaussian,0.0075,0,1,2,-0.0036864705375975887,-0.004727478544044372,-0.010195998734075118,-0.010583300855874889,0.0010410080064467836,0.00038730212179977075,2,2,agree,agree,6.740890181190571e-05
Gaussian,0.0075,1,0,2,-0.003686470537597686,-0.003761869761439496,-0.010195998734075118,-0.009842724433044792,7.539922384180997e-05,0.0003532743010303263,2,0,reverse,unresolved,6.740890181190571e-05
Gaussian,0.0075,2,0,1,-0.004727478544044303,-0.003761869761439496,-0.010583300855874889,-0.009842724433044736,0.0009656087826048071,0.0007405764228301526,0,0,agree,agree,6.740890181190571e-05
Gaussian,0.025,0,1,2,-0.011586721126133487,-0.014873802552912499,-0.032799727871789974,-0.03405499495631287,0.003287081426779012,0.001255267084522893,2,2,agree,agree,0.00020820165198966032
Gaussian,0.025,1,0,2,-0.011586721126133626,-0.011887622499094086,-0.032799727871789974,-0.031648398844129455,0.0003009013729604604,0.0011513290276605193,2,0,reverse,unresolved,0.00020820165198966032
Gaussian,0.025,2,0,1,-0.014873802552912402,-0.011887622499093864,-0.03405499495631281,-0.031648398844129455,0.002986180053818538,0.002406596112183357,0,0,agree,agree,0.00020820165198966032
Gaussian,0.075,0,1,2,-0.029694916573798386,-0.038213057472916576,-0.08919774344217962,-0.09268024438038913,0.00851814089911819,0.0034825009382095096,2,2,agree,agree,0.0004966479607986699
Gaussian,0.075,1,0,2,-0.029694916573798344,-0.03094165842380786,-0.08919774344217962,-0.08596002303282829,0.0012467418500095168,0.00323772040935133,2,0,reverse,reverse,0.0004966479607986699
Gaussian,0.075,2,0,1,-0.03821305747291659,-0.030941658423807944,-0.09268024438038913,-0.08596002303282829,0.0072713990491086455,0.00672022134756084,0,0,agree,agree,0.0004966479607986699
Gaussian,0.1,0,1,2,-0.03679186086138096,-0.047391802484586756,-0.1134391699928427,-0.11790932275737886,0.010599941623205794,0.004470152764536162,2,2,agree,agree,0.0005929189686898822
Gaussian,0.1,1,0,2,-0.036791860861380754,-0.03863529401512267,-0.1134391699928427,-0.10925960508642926,0.0018434331537419135,0.004179564906413441,2,0,reverse,reverse,0.0005929189686898822
Gaussian,0.1,2,0,1,-0.04739180248458663,-0.03863529401512261,-0.11790932275737892,-0.10925960508642926,0.00875650846946402,0.008649717670949658,0,0,agree,agree,0.0005929189686898822
