time_over_tau,maximum_independent_difference,maximum_sum_of_two_tail_allowances,pass_1e_8
0.0075,2.1627849511318686e-10,7.461914537258395e-10,True
0.025,3.8649411449043214e-10,1.083775720473638e-09,True
0.075,4.225244598643485e-10,1.400769213153956e-09,True
0.1,3.3882957550801507e-10,1.349480006041414e-09,True
0.25,3.3463257165244897e-10,1.6076893170419125e-09,True
0.75,2.001713794719251e-10,1.6694399029229254e-09,True
1.0,1.820469608393438e-10,1.7384636475561674e-09,True
2.5,7.34589958306664e-11,1.8823851277213624e-09,True
7.5,5.567586973051486e-12,1.886912867596567e-09,True
10.0,5.950793243586494e-12,1.8968366193011747e-09,True
