kind,first_grid,second_grid,time_over_tau,G0_error,K_error,C_error,pass_0_001
domain,0,1,0.0075,0.0007691295704730372,0.0007567543033011603,1.237526717187687e-05,True
domain,0,1,0.025,0.0007691295704730372,0.0007215571498357665,4.757242063727074e-05,True
domain,0,1,0.075,0.0007691295704730372,0.0006077718951403299,0.00016135767533270728,True
domain,0,1,0.1,0.0007691295704730372,0.000552300323123367,0.00021682924734967024,True
domain,0,1,0.25,0.0007691295704730372,0.0002989773452380523,0.000470152225234971,True
domain,0,1,0.75,0.0007691295704730372,4.495394481383169e-05,0.0007241756256592125,True
domain,0,1,1.0,0.0007691295704730372,2.262664841808787e-05,0.0007465029220549424,True
domain,0,1,2.5,0.0007691295704730372,1.2525809020899961e-05,0.0007566037614521459,True
domain,0,1,7.5,0.0007691295704730372,3.2633115214857848e-06,0.0007671542769565609,True
domain,0,1,10.0,0.0007691295704730372,1.3456858260565713e-06,0.0007690001896974996,True
domain,1,2,0.0075,6.058547478149379e-07,5.988929217271011e-07,6.961826087836798e-09,True
domain,1,2,0.025,6.058547478149379e-07,5.750699066664477e-07,3.0784841148490116e-08,True
domain,1,2,0.075,6.058547478149379e-07,4.83316283828028e-07,1.2253846398690982e-07,True
domain,1,2,0.1,6.058547478149379e-07,4.3532448257277423e-07,1.7053026524216364e-07,True
domain,1,2,0.25,6.058547478149379e-07,2.1586604988244051e-07,3.8998869794637514e-07,True
domain,1,2,0.75,6.058547478149379e-07,2.5190857892709584e-08,5.806638899152894e-07,True
domain,1,2,1.0,6.058547478149379e-07,1.1290409527436873e-08,5.945643382909704e-07,True
domain,1,2,2.5,6.058547478149379e-07,4.798975158232244e-09,6.010557726532362e-07,True
domain,1,2,7.5,6.058547478149379e-07,1.296580406625128e-09,6.050400744306295e-07,True
domain,1,2,10.0,6.058547478149379e-07,5.346178788296491e-10,6.057559119310163e-07,True
spacing,2,3,0.0075,8.798517470154366e-14,3.340030788473447e-05,3.3400307796749296e-05,True
spacing,2,3,0.025,8.798517470154366e-14,9.753595176567598e-05,9.75359516776908e-05,True
spacing,2,3,0.075,8.798517470154366e-14,0.0002038261047153378,0.00020382610462735262,True
spacing,2,3,0.1,8.798517470154366e-14,0.00022873100667872293,0.00022873100659073775,True
spacing,2,3,0.25,8.798517470154366e-14,0.00022406478695553844,0.0002240647868675394,True
spacing,2,3,0.75,8.798517470154366e-14,8.653053955451351e-05,8.653053952129008e-05,True
spacing,2,3,1.0,8.798517470154366e-14,7.367950255229849e-05,7.367950251907507e-05,True
spacing,2,3,2.5,8.798517470154366e-14,3.646893596544534e-05,3.6468935932176816e-05,True
spacing,2,3,7.5,8.798517470154366e-14,5.8639031855437646e-06,5.863903152325545e-06,True
spacing,2,3,10.0,8.798517470154366e-14,3.684583576974397e-06,3.684583543717146e-06,True
spacing,3,4,0.0075,6.078471059822732e-14,2.1625402604474875e-05,2.1625402543690164e-05,True
spacing,3,4,0.025,6.078471059822732e-14,6.306102462094731e-05,6.30610245601626e-05,True
spacing,3,4,0.075,6.078471059822732e-14,0.00013133981913818205,0.00013133981907739734,True
spacing,3,4,0.1,6.078471059822732e-14,0.0001471864962318825,0.0001471864961710978,True
spacing,3,4,0.25,6.078471059822732e-14,0.00014340317750957676,0.0001434031774488198,True
spacing,3,4,0.75,6.078471059822732e-14,5.5356156643371346e-05,5.5356156619223995e-05,True
spacing,3,4,1.0,6.078471059822732e-14,4.716441579308284e-05,4.716441576890773e-05,True
spacing,3,4,2.5,6.078471059822732e-14,2.3336977144274018e-05,2.3336977120147484e-05,True
spacing,3,4,7.5,6.078471059822732e-14,3.751438365327299e-06,3.7514383411374475e-06,True
spacing,3,4,10.0,6.078471059822732e-14,2.35738034019611e-06,2.3573803160648055e-06,True
