model,gaussian_rho,harmonic_rho,gaussian_rank_correlation_with_primary,primary_sites_also_distal_in_own_geometry,n
1,0.4025974025974026,0.33246753246753247,0.9883116883116884,21,21
2,0.37792207792207794,0.2779220779220779,0.9545454545454546,21,21
3,0.38441558441558443,0.2896103896103896,0.987012987012987,21,21
4,0.39090909090909093,0.3194805194805195,0.9805194805194806,20,21
5,0.36103896103896105,0.3090909090909091,0.9675324675324676,21,21
6,0.43896103896103894,0.3935064935064935,0.9701298701298702,19,21
7,0.34025974025974026,0.32987012987012987,0.9467532467532468,20,21
8,0.3987012987012987,0.37272727272727274,0.9857142857142858,20,21
9,0.35714285714285715,0.32727272727272727,0.948051948051948,20,21
10,0.42207792207792205,0.36493506493506495,0.974025974025974,21,21
11,0.43116883116883115,0.38051948051948054,0.9753246753246754,20,21
12,0.39090909090909093,0.35454545454545455,0.9753246753246754,20,21
13,0.38441558441558443,0.32727272727272727,0.9792207792207792,19,21
14,0.38181818181818183,0.35064935064935066,0.9441558441558442,20,21
15,0.3974025974025974,0.36623376623376624,0.9792207792207792,20,21
16,0.4142857142857143,0.32727272727272727,0.9688311688311688,20,21
17,0.38051948051948054,0.32597402597402597,0.9584415584415584,20,21
18,0.36883116883116884,0.32987012987012987,0.9792207792207792,21,21
19,0.41948051948051945,0.33116883116883117,0.987012987012987,20,21
20,0.34415584415584416,0.2727272727272727,0.9753246753246754,20,21
