case,geometry,kappa,A,h,G0,K,C,max_component_error,screen_pass,equivalent_full_states,full_grid_allocated
harmonic-A4-h0.5,development,1,4,0.5,0.01058460947286266,0.016756847939002478,0.02734145741186511,0.02734145741186511,False,4096,False
harmonic-A4-h0.25,development,1,4,0.25,0.011332139377889905,0.004303591118092753,0.013870789519362492,0.013870789519362492,False,32768,False
harmonic-A4-h0.125,development,1,4,0.125,0.011524372286116802,0.008701628619572577,0.011524466655830623,0.011524466655830623,False,262144,False
harmonic-A5-h0.125,development,1,5,0.125,0.00029795885126282506,0.0012539707178150783,0.0014912569897032046,0.0014912569897032046,False,512000,False
harmonic-A6-h0.125,development,1,6,0.125,2.627288629764024e-06,0.001460777249956191,0.0014626968693002285,0.0014626968693002285,False,884736,False
harmonic-A6-h0.0625,development,1,6,0.0625,2.661542130688588e-06,0.000365502562113873,0.00036744793256771047,0.00036744793256771047,True,7077888,False
harmonic-A6-h0.03125,development,1,6,0.03125,2.6701871262968524e-06,9.016423627861148e-05,9.211610804082948e-05,9.211610804082948e-05,True,56623104,False
harmonic-A6-h0.015625,development,1,6,0.015625,2.6723535065942272e-06,2.1233954232813268e-05,2.3221298160236437e-05,2.3221298160236437e-05,True,452984832,False
harmonic-A7-h0.015625,development,1,7,0.015625,8.19553713782284e-09,2.2979870362815902e-05,2.2985459155577814e-05,2.2985459155577814e-05,True,719323136,False
harmonic-A8-h0.015625,development,1,8,0.015625,8.76076988731711e-12,2.298490838170686e-05,2.2984913987333933e-05,2.2984913987333933e-05,True,1073741824,False
