h,method,time_over_tau,seconds,vector_equivalent_products
0.5,Taylor,0.1,0.023661707993596792,98
0.5,Taylor,1,0.21097079198807478,1080
0.5,Taylor,10,1.2377359999809414,6048
0.5,Chebyshev,0.1,0.005148500029463321,45
0.5,Chebyshev,1,0.013142417010385543,123
0.5,Chebyshev,10,0.040705125022213906,378
0.25,Taylor,0.1,0.43588800000725314,254
0.25,Taylor,1,4.475801833032165,2815
0.25,Taylor,10,35.8563430000213,22264
0.25,Chebyshev,0.1,0.06859391700709239,81
0.25,Chebyshev,1,0.19797820900566876,237
0.25,Chebyshev,10,0.6198264579870738,747
