case,label,driver,rank,C_max_difference,bound_max_difference
development-k1-n17-e4,pinned,evr,3,0.0,0.0
development-k1-n17-e4,pinned,evd,3,1.3877787807814457e-16,5.551115123125783e-16
development-k1-n17-e4,pinned,ev,3,1.3877787807814457e-16,5.551115123125783e-16
development-k1-n17-e4,system,evr,3,5.551115123125783e-17,5.551115123125783e-16
development-k1-n17-e4,system,evd,3,5.551115123125783e-17,2.220446049250313e-16
development-k1-n17-e4,system,ev,3,5.551115123125783e-17,3.885780586188048e-16
development-k1-n17-e4,pinned,evr,6,0.0,0.0
development-k1-n17-e4,pinned,evd,6,2.220446049250313e-16,1.5543122344752192e-15
development-k1-n17-e4,pinned,ev,6,2.220446049250313e-16,1.3322676295501878e-15
development-k1-n17-e4,system,evr,6,3.3306690738754696e-16,7.077671781985373e-16
development-k1-n17-e4,system,evd,6,2.0816681711721685e-16,1.4432899320127035e-15
development-k1-n17-e4,system,ev,6,1.942890293094024e-16,1.1102230246251565e-15
development-k1-n17-e4,pinned,evr,12,0.0,0.0
development-k1-n17-e4,pinned,evd,12,4.718447854656915e-16,1.4377388168895777e-14
development-k1-n17-e4,pinned,ev,12,4.440892098500626e-16,1.7291723608536813e-14
development-k1-n17-e4,system,evr,12,3.3306690738754696e-16,1.251776460264864e-13
development-k1-n17-e4,system,evd,12,1.6653345369377348e-16,2.328692794151266e-14
development-k1-n17-e4,system,ev,12,1.942890293094024e-16,1.8013368574543165e-14
development-k1-n17-e4,pinned,evr,24,0.0,0.0
development-k1-n17-e4,pinned,evd,24,4.440892098500626e-16,4.0195624606553793e-13
development-k1-n17-e4,pinned,ev,24,4.440892098500626e-16,4.02400335275388e-13
development-k1-n17-e4,system,evr,24,2.498001805406602e-16,6.811218256075335e-14
development-k1-n17-e4,system,evd,24,5.551115123125783e-16,3.552713678800501e-13
development-k1-n17-e4,system,ev,24,5.551115123125783e-16,3.6504133049675147e-13
development-k1-n17-e4,pinned,evr,48,0.0,0.0
development-k1-n17-e4,pinned,evd,48,1.6653345369377348e-16,5.169985099751084e-12
development-k1-n17-e4,pinned,ev,48,3.608224830031759e-16,5.1190685804863856e-12
development-k1-n17-e4,system,evr,48,7.494005416219807e-16,2.018885926491354e-12
development-k1-n17-e4,system,evd,48,6.106226635438361e-16,5.082558289168371e-12
development-k1-n17-e4,system,ev,48,4.996003610813204e-16,4.8832455006725395e-12
development-k1-n17-e4,pinned,evr,96,0.0,0.0
development-k1-n17-e4,pinned,evd,96,5.273559366969494e-16,8.766677444915869e-12
development-k1-n17-e4,pinned,ev,96,9.43689570931383e-16,8.591197588152098e-12
development-k1-n17-e4,system,evr,96,9.298117831235686e-16,9.720601964717766e-12
development-k1-n17-e4,system,evd,96,5.551115123125783e-16,8.737446634155896e-12
development-k1-n17-e4,system,ev,96,6.106226635438361e-16,8.512125953124506e-12
elongated-k100-n33-e4,pinned,evr,3,0.0,0.0
elongated-k100-n33-e4,pinned,evd,3,1.1102230246251565e-16,1.27675647831893e-15
elongated-k100-n33-e4,pinned,ev,3,2.220446049250313e-16,1.3877787807814457e-15
elongated-k100-n33-e4,system,evr,3,1.1102230246251565e-16,8.881784197001252e-16
elongated-k100-n33-e4,system,evd,3,1.1102230246251565e-16,1.3322676295501878e-15
elongated-k100-n33-e4,system,ev,3,2.220446049250313e-16,1.3877787807814457e-15
elongated-k100-n33-e4,pinned,evr,6,0.0,0.0
elongated-k100-n33-e4,pinned,evd,6,3.3306690738754696e-16,1.5432100042289676e-14
elongated-k100-n33-e4,pinned,ev,6,3.3306690738754696e-16,3.086420008457935e-14
elongated-k100-n33-e4,system,evr,6,6.661338147750939e-16,1.1213252548714081e-14
elongated-k100-n33-e4,system,evd,6,1.2212453270876722e-15,2.9753977059954195e-14
elongated-k100-n33-e4,system,ev,6,1.1102230246251565e-15,3.785860513971784e-14
elongated-k100-n33-e4,pinned,evr,12,0.0,0.0
elongated-k100-n33-e4,pinned,evd,12,3.885780586188048e-16,1.776911950912563e-13
elongated-k100-n33-e4,pinned,ev,12,4.440892098500626e-16,1.6488199694464356e-13
elongated-k100-n33-e4,system,evr,12,4.440892098500626e-16,3.7085612358822573e-13
elongated-k100-n33-e4,system,evd,12,1.1102230246251565e-15,4.009570453433753e-13
elongated-k100-n33-e4,system,ev,12,8.881784197001252e-16,4.2896242113954486e-13
elongated-k100-n33-e4,pinned,evr,24,0.0,0.0
elongated-k100-n33-e4,pinned,evd,24,5.551115123125783e-16,5.8191940849328105e-12
elongated-k100-n33-e4,pinned,ev,24,3.3306690738754696e-16,6.034276377187009e-12
elongated-k100-n33-e4,system,evr,24,7.771561172376096e-16,3.754786412346611e-12
elongated-k100-n33-e4,system,evd,24,4.440892098500626e-16,5.9662491960765784e-12
elongated-k100-n33-e4,system,ev,24,5.551115123125783e-16,5.989867456202003e-12
elongated-k100-n33-e4,pinned,evr,48,0.0,0.0
elongated-k100-n33-e4,pinned,evd,48,9.992007221626409e-16,7.135987981077285e-12
elongated-k100-n33-e4,pinned,ev,48,1.2212453270876722e-15,7.036177067691e-12
elongated-k100-n33-e4,system,evr,48,1.1102230246251565e-15,6.498085699895278e-12
elongated-k100-n33-e4,system,evd,48,1.2212453270876722e-15,6.5683247686340596e-12
elongated-k100-n33-e4,system,ev,48,8.881784197001252e-16,6.586761280987733e-12
